SKU,30d_ARIMA_MAPE,30d_Prophet_MAPE,30d_Best,60d_ARIMA_MAPE,60d_Prophet_MAPE,60d_Best,90d_ARIMA_MAPE,90d_Prophet_MAPE,90d_Best
VIT-C-1000,19.002671107568894,N/A,arima,30.789121171678424,N/A,arima,30.610992978673128,N/A,arima
OMEGA-3-500,16.40564453325469,N/A,arima,24.697435212629255,N/A,arima,34.31838419873809,N/A,arima
PROBIO-10B,13.64501261793074,N/A,arima,20.953889672084973,N/A,arima,29.534472984080484,N/A,arima
VIT-D-5000,17.5180219498209,N/A,arima,23.634087366376892,N/A,arima,48.743882390152486,N/A,arima
CALCIUM-MAG,66.75922978946645,N/A,arima,35.652150447954845,N/A,arima,27.920731133829772,N/A,arima
ZINC-15,64.61226367318008,N/A,arima,36.37725960392055,N/A,arima,27.723330475763447,N/A,arima
COLLAGEN-1K,85.38661347506743,N/A,arima,52.94527139271884,N/A,arima,62.01269859291316,N/A,arima
LUTEIN-20,16.165248234386958,N/A,arima,22.194665843893404,N/A,arima,27.15871285314263,N/A,arima
IRON-18,68.30687423994549,N/A,arima,40.56361781206736,N/A,arima,53.33598440213023,N/A,arima
MULTI-VIT,74.84697421328438,N/A,arima,39.708568383714606,N/A,arima,33.38896192626389,N/A,arima
